Date,geral,alimentos,habitacao,artigos_residencia,vestuario,transporte,comunicacao,saude,gastos_pessoais,educacao,geral_indice,alimentos_indice,habitacao_indice,artigos_residencia_indice,vestuario_indice,transporte_indice,comunicacao_indice,saude_indice,gastos_pessoais_indice,educacao_indice
09/2012,0.57,1.26,0.71,0.18,0.89,-0.08,0.03,0.32,0.73,0.1,169.35,180.47,172.61,116.95,190.71,145.98,151.94,177.65,204.61,195.24
10/2012,0.59,1.36,0.38,0.37,1.09,0.24,0.31,0.48,0.1,0.05,170.35,182.92,173.26,117.38,192.79,146.33,152.41,178.50,204.81,195.34
11/2012,0.6,0.79,0.64,0.47,0.86,0.68,0.31,0.32,0.53,0.05,171.37,184.36,174.37,117.93,194.45,147.33,152.89,179.07,205.90,195.43
12/2012,0.79,1.03,0.63,0.27,1.11,0.75,0.03,0.4,1.6,0.19,172.73,186.26,175.47,118.25,196.60,148.43,152.93,179.79,209.19,195.81
01/2013,0.86,1.99,-0.2,1.15,-0.53,0.75,-0.08,0.73,1.55,0.35,174.21,189.97,175.12,119.61,195.56,149.55,152.81,181.10,212.43,196.49
02/2013,0.6,1.45,-2.38,0.53,0.55,0.81,0.1,0.65,0.57,5.4,175.26,192.72,170.95,120.25,196.64,150.76,152.96,182.28,213.64,207.10
03/2013,0.47,1.14,0.51,0.11,0.15,-0.09,0.13,0.32,0.54,0.56,176.08,194.92,171.83,120.38,196.93,150.62,153.16,182.86,214.80,208.26
04/2013,0.55,0.96,0.62,0.63,0.65,-0.19,-0.32,1.28,0.61,0.1,177.05,196.79,172.89,121.14,198.21,150.34,152.67,185.20,216.11,208.47
05/2013,0.37,0.31,0.75,0.46,0.84,-0.25,0.08,0.94,0.41,0.06,177.70,197.40,174.19,121.69,199.88,149.96,152.79,186.94,216.99,208.59
06/2013,0.26,0.04,0.57,0.12,0.5,0.14,0.19,0.36,0.4,0.18,178.17,197.48,175.18,121.84,200.88,150.17,153.08,187.62,217.86,208.97
07/2013,0.03,-0.33,0.57,0.28,-0.39,-0.66,0.2,0.34,1.13,0.11,178.22,196.83,176.18,122.18,200.09,149.18,153.39,188.26,220.32,209.20
08/2013,0.24,0.01,0.57,0.89,0.08,-0.06,0.02,0.45,0.39,0.67,178.65,196.85,177.18,123.27,200.25,149.09,153.42,189.10,221.18,210.60
09/2013,0.35,0.14,0.62,0.65,0.63,0.44,-0.04,0.46,0.2,0.12,179.27,197.13,178.28,124.07,201.51,149.74,153.36,189.97,221.63,210.85
10/2013,0.57,1.03,0.56,0.81,1.13,0.17,0.08,0.39,0.43,0.09,180.29,199.16,179.28,125.07,203.79,150.00,153.48,190.71,222.58,211.04
11/2013,0.54,0.56,0.69,0.38,0.85,0.36,0.4,0.41,0.87,0.08,181.27,200.27,180.52,125.55,205.52,150.54,154.10,191.50,224.52,211.21
12/2013,0.92,0.89,0.52,0.89,0.8,1.85,0.74,0.41,1,0.05,182.94,202.05,181.46,126.67,207.17,153.32,155.24,192.28,226.76,211.32
01/2014,0.55,0.84,0.55,0.49,-0.15,-0.03,0.03,0.48,1.72,0.57,183.94,203.75,182.45,127.29,206.86,153.28,155.28,193.20,230.66,212.52
02/2014,0.69,0.56,0.77,1.07,-0.4,-0.05,0.14,0.74,0.69,5.97,185.21,204.89,183.86,128.65,206.03,153.20,155.50,194.63,232.25,225.21
03/2014,0.92,1.92,0.33,0.38,0.31,1.38,-1.26,0.43,0.79,0.53,186.91,208.83,184.47,129.14,206.67,155.32,153.54,195.47,234.09,226.40
04/2014,0.67,1.19,0.87,0.2,0.47,0.32,0.02,1.01,0.31,0.03,188.17,211.31,186.07,129.40,207.64,155.81,153.57,197.44,234.81,226.47
05/2014,0.46,0.58,0.61,1.03,0.84,-0.45,0.11,0.98,0.8,0.13,189.03,212.54,187.21,130.73,209.38,155.11,153.74,199.38,236.69,226.77
06/2014,0.4,-0.11,0.55,0.38,0.49,0.37,-0.02,0.6,1.57,0.02,189.79,212.30,188.23,131.23,210.41,155.69,153.71,200.58,240.41,226.81
07/2014,0.01,-0.15,1.2,0.86,-0.24,-0.98,-0.79,0.5,0.12,0.04,189.81,211.98,190.49,132.36,209.91,154.16,152.50,201.58,240.70,226.90
08/2014,0.25,-0.15,0.94,0.47,-0.15,0.33,0.1,0.41,0.09,0.43,190.28,211.67,192.28,132.98,209.59,154.67,152.65,202.41,240.91,227.88
09/2014,0.57,0.78,0.77,0.34,0.57,0.63,0.13,0.33,0.39,0.18,191.37,213.32,193.76,133.43,210.79,155.64,152.85,203.07,241.85,228.29
10/2014,0.42,0.46,0.68,0.19,0.62,0.39,-0.05,0.39,0.36,0.11,192.17,214.30,195.08,133.68,212.09,156.25,152.77,203.87,242.72,228.54
11/2014,0.51,0.77,0.69,-0.04,0.39,0.43,0.08,0.42,0.48,0.21,193.15,215.95,196.43,133.63,212.92,156.92,152.89,204.72,243.89,229.02
12/2014,0.78,1.08,0.51,0,0.85,1.38,0,0.47,0.7,0.07,194.66,218.28,197.43,133.63,214.73,159.09,152.89,205.68,245.60,229.18
01/2015,1.24,1.48,2.42,-0.28,-0.69,1.83,0.15,0.32,1.68,0.31,197.07,221.51,202.21,133.26,213.25,162.00,153.12,206.34,249.72,229.89
02/2015,1.22,0.81,1.22,0.87,-0.6,2.2,-0.02,0.6,0.86,5.88,199.48,223.31,204.67,134.41,211.97,165.56,153.09,207.58,251.87,243.41
03/2015,1.32,1.17,5.29,0.35,0.59,0.46,-1.16,0.69,0.36,0.75,202.11,225.92,215.50,134.88,213.22,166.32,151.32,209.01,252.78,245.23
04/2015,0.71,0.97,0.93,0.66,0.91,0.11,0.31,1.32,0.51,0.21,203.54,228.11,217.51,135.78,215.16,166.51,151.78,211.77,254.06,245.75
05/2015,0.74,1.37,1.22,0.36,0.61,-0.29,0.17,1.1,0.74,0.06,205.05,231.23,220.16,136.26,216.47,166.02,152.04,214.10,255.94,245.90
06/2015,0.79,0.63,0.86,0.72,0.58,0.7,0.34,0.91,1.63,0.2,206.67,232.69,222.05,137.25,217.73,167.19,152.56,216.05,260.12,246.39
07/2015,0.62,0.65,1.52,0.86,-0.31,0.15,0.3,0.84,0.61,0,207.95,234.20,225.43,138.43,217.05,167.44,153.02,217.86,261.70,246.39
08/2015,0.22,-0.01,0.29,0.37,0.2,-0.27,0.14,0.62,0.75,0.82,208.41,234.18,226.08,138.94,217.49,166.99,153.23,219.21,263.67,248.41
09/2015,0.54,0.24,1.3,0.19,0.5,0.71,0.01,0.55,0.33,0.25,209.53,234.74,229.02,139.20,218.57,168.17,153.25,220.42,264.54,249.03
10/2015,0.82,0.77,0.75,0.39,0.67,1.72,0.39,0.55,0.57,0.1,211.25,236.55,230.74,139.74,220.04,171.06,153.84,221.63,266.04,249.28
11/2015,1.01,1.83,0.76,0.31,0.79,1.08,1.03,0.64,0.52,0.22,213.39,240.88,232.49,140.18,221.78,172.91,155.43,223.05,267.43,249.83
12/2015,0.96,1.5,0.49,0.46,1.15,1.36,0.43,0.7,0.57,0.22,215.43,244.49,233.63,140.82,224.33,175.26,156.10,224.61,268.95,250.38
01/2016,1.27,2.28,0.81,0.45,-0.24,1.77,0.22,0.81,1.19,0.31,218.17,250.07,235.52,141.46,223.79,178.36,156.44,226.43,272.15,251.15
02/2016,0.9,1.06,-0.15,1.01,0.24,0.62,0.66,0.94,0.77,5.9,220.13,252.72,235.17,142.88,224.33,179.47,157.47,228.56,274.25,265.97
03/2016,0.43,1.24,-0.64,0.7,0.69,0.16,-1.65,0.78,0.6,0.63,221.08,255.85,233.67,143.89,225.87,179.76,154.87,230.34,275.89,267.65
04/2016,0.61,1.09,-0.38,0.26,0.4,0.03,1.47,2.33,0.23,0.2,222.43,258.64,232.78,144.26,226.78,179.81,157.15,235.71,276.53,268.18
05/2016,0.78,0.78,1.79,0.63,0.91,-0.58,0.01,1.62,1.35,0.16,224.16,260.66,236.94,145.17,228.84,178.77,157.17,239.53,280.26,268.61
06/2016,0.35,0.71,0.63,0.26,0.32,-0.53,0.04,0.83,0.35,0.11,224.95,262.51,238.44,145.55,229.57,177.82,157.23,241.52,281.24,268.91
07/2016,0.52,1.32,-0.29,0.53,-0.38,0.4,0.02,0.61,0.7,0.04,226.12,265.97,237.75,146.32,228.70,178.53,157.26,242.99,283.21,269.01
08/2016,0.44,0.3,0.3,0.36,0.15,0.27,-0.02,0.8,0.96,0.99,227.11,266.77,238.46,146.84,229.04,179.01,157.23,244.93,285.93,271.68
09/2016,0.08,-0.29,0.63,-0.23,0.43,-0.1,0.18,0.33,0.1,0.18,227.29,266.00,239.96,146.51,230.03,178.84,157.51,245.74,286.22,272.17
10/2016,0.26,-0.05,0.42,-0.13,0.45,0.75,0.07,0.43,0.01,0.02,227.89,265.86,240.97,146.32,231.06,180.18,157.62,246.80,286.24,272.22
11/2016,0.18,-0.2,0.3,-0.16,0.2,0.28,0.27,0.57,0.47,0.06,228.30,265.33,241.69,146.08,231.53,180.68,158.05,248.21,287.59,272.38
12/2016,0.3,0.08,-0.59,-0.31,0.32,1.11,0.02,0.49,1.01,0.07,228.98,265.54,240.27,145.63,232.27,182.69,158.08,249.42,290.49,272.57
01/2017,0.38,0.35,0.17,-0.1,-0.36,0.77,0.63,0.55,0.45,0.29,229.85,266.47,240.67,145.48,231.43,184.09,159.08,250.79,291.80,273.36
02/2017,0.33,-0.45,0.24,0.18,-0.13,0.24,0.66,0.65,0.31,5.04,230.61,265.28,241.25,145.74,231.13,184.54,160.13,252.42,292.71,287.14
03/2017,0.25,0.34,1.18,-0.29,-0.12,-0.86,-0.63,0.69,0.52,0.95,231.19,266.18,244.10,145.32,230.85,182.95,159.12,254.17,294.23,289.87
04/2017,0.14,0.58,-1.09,-0.28,0.48,-0.06,0.55,1,0.09,0.03,231.51,267.72,241.44,144.92,231.96,182.84,159.99,256.71,294.49,289.96
05/2017,0.31,-0.35,2.14,-0.23,0.98,-0.42,0.09,0.62,0.23,0.08,232.23,266.78,246.61,144.58,234.23,182.07,160.14,258.30,295.17,290.19
06/2017,-0.23,-0.5,-0.77,-0.07,0.21,-0.52,0.09,0.46,0.33,0.08,231.69,265.45,244.71,144.48,234.73,181.12,160.28,259.49,296.14,290.42
07/2017,0.24,-0.47,1.64,-0.23,-0.42,0.34,-0.02,0.37,0.36,-0.02,232.25,264.20,248.72,144.15,233.74,181.74,160.25,260.45,297.21,290.36
08/2017,0.19,-1.07,0.57,0.2,0.29,1.53,-0.56,0.41,0.29,0.24,232.69,261.38,250.14,144.44,234.42,184.52,159.35,261.51,298.07,291.06
09/2017,0.16,-0.41,-0.12,0.13,0.28,0.79,0.5,0.32,0.56,0.04,233.06,260.30,249.84,144.62,235.07,185.98,160.15,262.35,299.74,291.18
10/2017,0.42,-0.05,1.33,-0.39,0.71,0.49,0.4,0.52,0.32,0.06,234.04,260.17,253.16,144.06,236.74,186.89,160.79,263.72,300.70,291.35
11/2017,0.28,-0.38,1.27,-0.45,0.1,0.52,0.15,0.34,0.42,0.03,234.70,259.18,256.37,143.41,236.98,187.86,161.03,264.61,301.96,291.44
12/2017,0.44,0.54,-0.4,0.03,0.84,1.23,-0.11,0.4,0.42,0.15,235.73,260.58,255.35,143.46,238.97,190.17,160.85,265.67,303.23,291.88
01/2018,0.29,0.74,-0.85,0.14,-0.98,1.1,0.11,0.42,0.22,0.22,236.41,262.51,253.18,143.66,236.63,192.26,161.03,266.79,303.90,292.52
02/2018,0.32,-0.33,0.22,0.03,-0.38,0.74,0.05,0.38,0.17,3.89,237.17,261.65,253.74,143.70,235.73,193.69,161.11,267.80,304.42,303.90
03/2018,0.09,0.07,0.19,0.08,0.33,-0.25,-0.33,0.48,0.05,0.28,237.38,261.83,254.22,143.81,236.51,193.20,160.58,269.09,304.57,304.75
04/2018,0.22,0.09,0.17,0.22,0.62,0,-0.07,0.91,0.12,0.08,237.91,262.07,254.65,144.13,237.97,193.20,160.47,271.53,304.93,304.99
05/2018,0.4,0.32,0.83,-0.06,0.58,0.4,0.16,0.57,0.11,0.06,238.86,262.90,256.76,144.04,239.35,193.97,160.72,273.08,305.27,305.17
06/2018,1.26,2.03,2.48,0.34,-0.16,1.58,0,0.37,0.33,0.02,241.87,268.24,263.13,144.53,238.97,197.04,160.72,274.09,306.28,305.24
07/2018,0.33,-0.12,1.54,0.47,-0.6,0.49,0.08,0.07,0.31,-0.08,242.66,267.92,267.18,145.21,237.54,198.01,160.85,274.28,307.23,304.99
08/2018,-0.09,-0.34,0.44,0.56,0.19,-1.22,0.03,0.53,0.36,0.25,242.45,267.01,268.36,146.03,237.99,195.59,160.90,275.74,308.33,305.75
09/2018,0.48,0.1,0.37,0.11,-0.02,1.69,-0.07,0.28,0.38,0.24,243.61,267.28,269.35,146.19,237.94,198.89,160.79,276.51,309.50,306.49
10/2018,0.45,0.59,0.14,0.76,0.33,0.92,0.02,0.27,0.25,0.04,244.71,268.85,269.73,147.30,238.73,200.72,160.82,277.26,310.28,306.61
11/2018,-0.21,0.39,-0.71,0.48,-0.43,-0.74,-0.07,-0.71,0.36,0.04,244.19,269.90,267.81,148.00,237.70,199.24,160.71,275.29,311.39,306.73
12/2018,0.15,0.44,-0.15,0.57,1.14,-0.54,0.01,0.32,0.29,0.21,244.56,271.09,267.41,148.85,240.41,198.16,160.72,276.17,312.30,307.38
01/2019,0.32,0.9,0.24,0.32,-1.15,0.02,0.04,0.26,0.61,0.12,245.34,273.53,268.05,149.32,237.64,198.20,160.79,276.89,314.20,307.75
02/2019,0.43,0.78,0.38,0.2,-0.33,-0.34,0,0.49,0.18,3.53,246.40,275.66,269.07,149.62,236.86,197.53,160.79,278.24,314.77,318.61
03/2019,0.75,1.37,0.25,0.27,0.45,1.44,-0.22,0.42,0.16,0.32,248.24,279.44,269.75,150.03,237.93,200.37,160.43,279.41,315.27,319.63
04/2019,0.57,0.63,0.24,-0.24,0.18,0.94,0.03,1.51,0.17,0.09,249.66,281.20,270.39,149.67,238.35,202.26,160.48,283.63,315.81,319.92
05/2019,0.13,-0.56,0.98,-0.1,0.34,0.07,-0.03,0.59,0.16,-0.04,249.98,279.62,273.04,149.52,239.16,202.40,160.43,285.31,316.31,319.79
06/2019,0.01,-0.25,0.07,0.02,0.3,-0.31,-0.02,0.64,0.15,0.14,250.01,278.92,273.23,149.55,239.88,201.77,160.40,287.13,316.79,320.24
07/2019,0.19,0.01,1.2,0.29,-0.52,-0.17,0.57,-0.2,0.44,0.04,250.48,278.95,276.51,149.98,238.63,201.43,161.32,286.56,318.18,320.36
08/2019,0.11,-0.35,1.19,0.56,0.23,-0.39,0.09,-0.03,0.31,0.16,250.76,277.98,279.80,150.82,239.18,200.64,161.46,286.47,319.17,320.88
09/2019,-0.04,-0.43,0.02,-0.76,0.27,0,-0.01,0.58,0.04,0.04,250.66,276.78,279.86,149.67,239.83,200.64,161.44,288.13,319.29,321.00
10/2019,0.1,0.05,-0.61,-0.09,0.63,0.45,-0.01,0.4,0.2,0.03,250.91,276.92,278.15,149.54,241.34,201.55,161.43,289.28,319.93,321.10
11/2019,0.51,0.72,0.71,-0.36,0.35,0.3,-0.02,0.21,1.24,0.08,252.19,278.91,280.13,149.00,242.18,202.15,161.40,289.89,323.90,321.36
12/2019,1.15,3.38,-0.82,-0.48,0,1.54,0.66,0.42,0.92,0.2,255.09,288.34,277.83,148.29,242.18,205.26,162.46,291.11,326.88,322.00
01/2020,0.21,0.39,0.55,-0.07,-0.48,0.32,0.12,-0.32,0.35,0.16,255.62,289.46,279.36,148.18,241.02,205.92,162.66,290.18,328.02,322.52
02/2020,0.25,0.11,-0.39,-0.08,-0.73,-0.23,0.21,0.73,0.31,3.7,256.26,289.78,278.27,148.06,239.26,205.45,163.00,292.30,329.04,334.45
03/2020,0.07,1.13,0.13,-1.08,0.21,-0.9,0.04,0.21,-0.23,0.59,256.44,293.06,278.63,146.47,239.77,203.60,163.06,292.91,328.28,336.42
04/2020,-0.31,1.79,-0.1,-1.37,0.1,-2.66,-0.2,-0.22,-0.14,0,255.65,298.30,278.35,144.46,240.00,198.18,162.74,292.27,327.82,336.42
05/2020,-0.38,0.24,-0.25,0.58,-0.58,-1.9,0.24,-0.1,-0.04,0.02,254.68,299.02,277.66,145.30,238.61,194.42,163.13,291.97,327.69,336.49
06/2020,0.26,0.38,0.04,1.3,-0.46,0.31,0.75,0.35,-0.05,0.05,255.34,300.16,277.77,147.19,237.52,195.02,164.35,293.00,327.53,336.66
07/2020,0.36,0.01,0.8,0.9,-0.52,0.78,0.51,0.44,-0.11,-0.12,256.26,300.19,279.99,148.51,236.28,196.54,165.19,294.28,327.17,336.25
08/2020,0.24,0.78,0.36,0.56,-0.78,0.82,0.67,0.5,-0.01,-3.47,256.87,302.53,281.00,149.34,234.44,198.15,166.30,295.76,327.14,324.59
09/2020,0.64,2.28,0.37,1,0.37,0.7,0.15,-0.64,0.09,-0.09,258.52,309.42,282.04,150.84,235.30,199.54,166.55,293.86,327.43,324.29
10/2020,0.86,1.93,0.36,1.53,1.11,1.19,0.21,0.28,0.19,-0.04,260.74,315.40,283.05,153.14,237.92,201.91,166.90,294.69,328.05,324.16
11/2020,0.89,2.54,0.44,0.86,0.07,1.33,0.29,-0.13,0.01,-0.02,263.06,323.41,284.30,154.46,238.08,204.60,167.38,294.30,328.09,324.10
12/2020,1.35,1.74,2.88,1.76,0.59,1.36,0.39,0.4,0.65,0.48,266.61,329.04,292.49,157.18,239.49,207.38,168.03,295.48,330.22,325.65
01/2021,0.25,1.02,-1.07,0.86,-0.07,0.41,0.02,0.32,0.39,0.13,267.28,332.39,289.36,158.53,239.32,208.23,168.07,296.43,331.51,326.08
02/2021,0.86,0.27,0.4,0.66,0.38,2.28,-0.13,0.62,0.17,2.48,269.58,333.29,290.51,159.58,240.23,212.98,167.85,298.26,332.07,334.17
03/2021,0.93,0.13,0.81,0.69,0.29,3.81,-0.07,-0.02,0.04,-0.52,272.08,333.72,292.87,160.68,240.93,221.09,167.73,298.20,332.20,332.43
04/2021,0.31,0.4,0.22,0.57,0.47,-0.08,0.08,1.19,0.01,0.04,272.93,335.06,293.51,161.59,242.06,220.92,167.86,301.75,332.24,332.56
05/2021,0.83,0.44,1.78,1.25,0.92,1.15,0.21,0.76,0.21,0.06,275.19,336.53,298.74,163.61,244.29,223.46,168.22,304.05,332.93,332.76
06/2021,0.53,0.43,1.1,1.09,1.21,0.41,-0.12,0.51,0.29,0.05,276.65,337.98,302.02,165.40,247.24,224.37,168.01,305.60,333.90,332.93
07/2021,0.96,0.6,3.1,0.78,0.53,1.52,0.12,-0.65,0.45,0.18,279.31,340.01,311.38,166.69,248.55,227.78,168.22,303.61,335.40,333.53
08/2021,0.87,1.39,0.68,0.99,1.02,1.46,0.23,-0.04,0.64,0.28,281.74,344.73,313.50,168.34,251.09,231.11,168.60,303.49,337.55,334.46
09/2021,1.16,1.02,2.56,0.9,0.31,1.82,0.07,0.39,0.56,-0.01,285.01,348.25,321.53,169.85,251.87,235.32,168.72,304.67,339.44,334.43
10/2021,1.25,1.17,1.04,1.27,1.8,2.62,0.54,0.39,0.75,0.06,288.57,352.32,324.87,172.01,256.40,241.48,169.63,305.86,341.98,334.63
11/2021,0.95,-0.04,1.03,1.03,0.95,3.35,0.09,-0.57,0.57,0.02,291.31,352.18,328.22,173.78,258.83,249.57,169.78,304.12,343.93,334.69
12/2021,0.73,0.84,0.74,1.37,2.06,0.58,0.34,0.75,0.56,0.05,293.44,355.14,330.65,176.16,264.17,251.02,170.36,306.40,345.86,334.86
01/2022,0.54,1.11,0.16,1.82,1.07,-0.11,1.05,0.36,0.78,0.25,295.02,359.08,331.17,179.37,266.99,250.74,172.15,307.50,348.56,335.70
02/2022,1.01,1.28,0.54,1.76,0.88,0.46,0.29,0.47,0.64,5.61,298.00,363.68,332.96,182.52,269.34,251.90,172.65,308.95,350.79,354.53
03/2022,1.62,2.42,1.15,0.57,1.82,3.02,-0.05,0.88,0.59,0.15,302.83,372.48,336.79,183.56,274.24,259.50,172.56,311.67,352.86,355.06
04/2022,1.06,2.06,-1.14,1.53,1.26,1.91,0.08,1.77,0.48,0.06,306.04,380.15,332.95,186.37,277.70,264.46,172.70,317.18,354.55,355.28
05/2022,0.47,0.48,-1.7,0.66,2.11,1.34,0.72,1.01,0.52,0.04,307.48,381.98,327.29,187.60,283.56,268.00,173.95,320.39,356.40,355.42
06/2022,0.67,0.8,0.41,0.55,1.67,0.57,0.16,1.24,0.49,0.09,309.54,385.03,328.63,188.64,288.30,269.53,174.22,324.36,358.14,355.74
07/2022,-0.68,1.3,-1.05,0.12,0.58,-4.51,0.07,0.49,1.13,0.06,307.43,390.04,325.18,188.86,289.97,257.38,174.35,325.95,362.19,355.95
